epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
35,8261.83,0.60275,4.17875,0.20929,0.4452,0.01574,1.73728,0.96849,0.9675,0.98884,0.83987,0.86589,0.83293,0.82957,0.68524,0.44584,2.61879,0.05755,0.26096,0.01491,0,0.00148694,0.00148694,0.00148694
36,8503.11,0.5955,4.12513,0.2081,0.44344,0.01546,1.64329,0.96634,0.9658,0.98827,0.84071,0.86527,0.83153,0.82876,0.68474,0.44559,2.59797,0.05683,0.26295,0.01491,0,0.00145945,0.00145945,0.00145945
37,8742.91,0.59092,4.10331,0.20748,0.44101,0.01534,1.57614,0.96559,0.96558,0.98845,0.84236,0.86706,0.83064,0.82955,0.68639,0.44268,2.59783,0.05594,0.26389,0.01479,0,0.00143152,0.00143152,0.00143152
38,8983.3,0.58718,4.00248,0.20684,0.43337,0.01524,1.51769,0.96961,0.96355,0.98855,0.84451,0.86388,0.83446,0.83246,0.68736,0.43846,2.59222,0.05594,0.25817,0.01462,0,0.00140318,0.00140318,0.00140318
39,9223.51,0.59186,3.97858,0.20277,0.43342,0.01524,1.46214,0.96703,0.96815,0.98928,0.84562,0.86708,0.83242,0.8343,0.69135,0.43722,2.57452,0.0558,0.25831,0.01457,0,0.00137444,0.00137444,0.00137444
40,9462.67,0.58278,3.94947,0.20215,0.43302,0.01504,1.43188,0.9692,0.97044,0.98964,0.8481,0.8676,0.83593,0.83524,0.69127,0.4346,2.54869,0.05528,0.25597,0.01447,0,0.00134535,0.00134535,0.00134535
41,9698.82,0.58172,3.96495,0.20274,0.42674,0.01492,1.48715,0.96632,0.97257,0.98942,0.85014,0.87299,0.84058,0.83778,0.69383,0.43048,2.51124,0.05384,0.25426,0.01427,0,0.00131593,0.00131593,0.00131593
42,9939.46,0.5788,3.88479,0.20121,0.42477,0.0149,1.40107,0.96853,0.97255,0.98961,0.85023,0.87419,0.8407,0.83904,0.69556,0.43041,2.48756,0.05369,0.25224,0.01426,0,0.0012862,0.0012862,0.0012862
43,10177.7,0.57858,3.91063,0.19995,0.42655,0.01491,1.3462,0.96945,0.97222,0.98997,0.85144,0.87579,0.84848,0.84814,0.70033,0.42966,2.44726,0.05343,0.2501,0.01424,0,0.0012562,0.0012562,0.0012562
44,10413.4,0.57244,3.81517,0.19641,0.4219,0.01475,1.24921,0.96756,0.973,0.98966,0.85201,0.87873,0.84631,0.84863,0.70193,0.42783,2.44313,0.05361,0.24978,0.01419,0,0.00122596,0.00122596,0.00122596
45,10664.9,0.57016,3.80917,0.19715,0.41603,0.01457,1.21753,0.96902,0.97275,0.98962,0.85207,0.87918,0.84943,0.85113,0.70328,0.4271,2.42836,0.05307,0.24798,0.01417,0,0.00119551,0.00119551,0.00119551
46,10895.9,0.56824,3.78022,0.19694,0.41897,0.01461,1.20898,0.96821,0.97421,0.9895,0.85261,0.87516,0.84962,0.85,0.70432,0.42631,2.42878,0.05248,0.24614,0.01415,0,0.00116487,0.00116487,0.00116487
47,11126.2,0.56492,3.78173,0.1965,0.41575,0.01455,1.2425,0.96901,0.97362,0.98987,0.8537,0.87876,0.84978,0.85154,0.70565,0.42504,2.41516,0.0522,0.24433,0.01411,0,0.00113408,0.00113408,0.00113408
